deviceUid,deviceName,serialNumber
00615804-a9a0-4c2d-8bd0-de19d76ac6ec,PC457C4W18,MJ06FCRB
0084278e-7e6e-4d1c-b057-8836ac5a502e,CSAA6545RDPW20,MJ09AXGX
00cd1328-916e-4ca9-ad1e-c3571973fc6f,SCCM2019W22,7LQ0V12
00ed9b04-609d-4e10-a15e-c2090da330cf,MOSESJCU9614W21,279W2R1
013a8030-611b-4c9f-86e8-d1c37b71876e,310PM1,MJ098B52
015b22ed-18c5-4065-bdab-025b93632f5c,WH411PC1W17,MJ05FNXK
0165e260-ec40-4751-b532-062e16ccfc81,PC4FD3W18,MJ05FNZG~~MJ05FNZG
019497d7-6382-41a2-af3d-ceb574cbe7e7,AS303PC1W18,MJ05NLE9
01ef7d7a-321b-43e9-8907-6ad40b719c4e,PC426W2018,FQYK482
021735ba-139d-4843-9440-65554ae0c17b,WH406W18,FR1F482
02b3ba17-edd9-43c7-b69e-7a8708340878,WHFD1W18,MJ05FNZC
02d9a046-6a33-4ac0-a4cc-ff016e5b2c22,CS47102W16,7JJFJB2
0494bf3d-a1fd-42ee-accc-20efcad5cc7f,MR336FW20,MJ04TBMH~~MJ04TBMH
04c29efa-5bfc-449f-8765-7f82d882db3d,PC3AF168W20,5HWXR72
04cedfd8-856f-4fef-9973-7db0b966422f,FLUVACC07W22,BCYFT32
0540e365-c6c0-4266-a10d-fff85730f94d,FLUVACC02BW22,BKZXD12
05c3c3de-73b5-4e01-a41f-632822723427,CSPRAGUE-LENOVO,PF1NAWXK
05d4f0df-bede-4f50-8498-3c3ab6519866,ADMIN474GW20,MJ09AXS3~~MJ09AXS3
0608500a-256e-44db-a290-6b5ba83658f6,PTEB1230W20,PF1860G5~L1HF85X005A~PF1860G5
071db504-27fe-44a8-ab5a-08c47f32bcd6,FAC352L2W22,MJ095FME
07256b48-bd2e-4b1b-abbd-f43c528a6fbe,PA1W18,MJ06GTN7
0739e914-6330-4e18-bed7-fbdf68100d5f,PC424C4W18,MJ06GJ49
075b79a4-3f7b-4b64-875b-c5adfefb9a9a,HPLPJMM693M19,C02P70JQGFWN
0796966f-71b4-4fff-a20a-c79e25337881,SP330AW19,MJ07RGWF
0809d215-4fed-4546-adbf-3fcf01d1354c,DIESELMB,C02YN30FLVDD
0817e088-6e4f-4c7e-9f12-fa40ae862ae4,PTRYGLEN01W22,MJ098B3J
09380f7f-ab41-4801-bc47-9aa6dd48c28e,PHARM5W19,MJ08NX90
099be2c9-0daf-4a9a-942b-75737b45e81e,PA13W18,MJ06GJ54
0a0244b6-725c-41d1-980d-dcebd22e03dd,WL344K7W18,GZDQG42
0a751ba5-7812-426d-864b-04b8d12d64a0,CS351IW22,G9X03Q3
0a79fff3-bf80-4479-9993-08df4c28ded7,MCSDCWIN10-504,VMWARE 42 12 C0 D2 E4 AC 08 14 98 9D D6 B4 29 47 C
0ad8972a-fd83-42d7-b158-b597dd8f598c,WS202W15,7JN6JB2
0bed3f2b-f617-4700-8b94-a409496309fb,PCOG13W20,PF17U312
0bf4ade8-2181-4333-ae32-8eed2840cc64,KITCHEN1W19,MJ08NX9A~~MJ08NX9A
0bff2f10-158b-4ee5-b8c8-25777e5b8506,FI476W19,MJ07RGWW
0c3dc8a5-e675-41ff-896f-390c4fb8f724,PC457A4W18,MJ06HAG6
0ccb7a1c-92bc-452b-a85c-8616a9a840ab,PSSAEP7LPW20,MJ0BXVXY
0d39bc4e-9c4a-4412-a0d1-6787dfccbc46,MC210W19,MJ08NX8X
0d5d4133-0ebf-49b9-b68d-72132258966a,HPO402CW19,MJ07RGWM
0e06fe32-8f1b-4292-97dc-fc2a35f4138b,MCBT01W22,FQZK482
0e658bd3-3108-4fa4-8527-1b07a80872dc,CS47105W22,5TN83Q3
0ee91523-2354-41a3-9c56-2889d2cc86ff,VACC05W21,MJ09AXTN~~MJ09AXTN
0f4b6c17-0de3-4a49-a675-8b9e585dcde8,MCKH115W20,8GWXR72
